ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,hedge_cost_6m,hedge_cost_12m,ytd_return,1y_return,score_long,score_short
ATKR,65.0200,0.294318,0.005499,-0.025446,-0.074091,0.072113,0.095877,0.123799,18028.37,23969.28,30949.69,0.014178,-0.582283,0.399408,0.359706
WSC,21.8700,0.468618,0.005344,-0.028369,-0.064923,0.118573,0.159737,0.210084,29643.37,39934.21,52521.12,0.123267,-0.539298,0.264104,0.265281
EWY,148.8900,0.358078,-0.005266,-0.039964,-0.035411,0.089574,0.120125,0.157018,22393.53,30031.27,39254.57,0.456564,1.427950,0.353260,0.351556
PICK,64.4200,0.358483,0.004577,-0.027767,-0.041028,0.089683,0.120275,0.157222,22420.74,30068.78,39305.44,0.230328,0.745107,0.349206,0.354959
ANF,95.9100,0.449096,0.004476,0.001378,-0.031642,0.113539,0.152906,0.201018,28384.71,38226.52,50254.59,-0.224907,-0.240076,0.271892,0.288215
RIO,100.7800,0.363746,0.004456,-0.002453,0.003536,0.091095,0.122220,0.159858,22773.65,30554.99,39964.43,0.237627,0.773477,0.336760,0.358959
EQIX,960.5200,0.352884,0.004335,0.013818,-0.058038,0.088177,0.118198,0.154403,22044.24,29549.52,38600.64,0.257044,0.142305,0.349228,0.363934
XLB,53.0600,0.182970,-0.002912,-0.048660,-0.074806,0.041231,0.052911,0.064933,10307.87,13227.81,16233.20,0.150477,0.276776,0.406848,0.355833
AM,22.2800,0.184650,0.002578,-0.096138,-0.063209,0.041694,0.053550,0.065798,10423.48,13387.59,16449.45,0.256993,0.883157,0.411416,0.351222
VIRT,40.7500,0.359360,-0.002265,0.089037,0.031216,0.089919,0.120600,0.157662,22479.64,30149.97,39415.54,0.250000,1.541193,0.325467,0.377289
MAS,71.8600,0.370233,-0.001550,-0.070309,-0.078480,0.092830,0.124607,0.163089,23207.38,31151.87,40772.16,0.119399,-0.012399,0.351444,0.333880
DBC,24.7500,0.236938,0.000773,-0.001863,-0.003248,0.056150,0.073607,0.093139,14037.57,18401.87,23284.78,0.105404,0.228294,0.390961,0.370139
XLE,54.8700,0.203528,0.000025,-0.015193,-0.049232,0.046900,0.060757,0.075582,11724.97,15189.25,18895.49,0.201971,0.358295,0.398257,0.363866
