ticker,spot,vol_30d,corr_3m,corr_6m,corr_12m,put_pct_3m,put_pct_6m,put_pct_12m,hedge_cost_3m,hedge_cost_6m,hedge_cost_12m,ytd_return,1y_return,score_long,score_short
SWK,84.0400,0.385192,-0.081524,-0.004848,0.038872,0.096810,0.130074,0.170466,24202.40,32518.47,42616.62,0.098993,0.017193,0.337930,0.323488
MP,63.7300,0.761801,-0.081049,0.024057,-0.048176,0.191011,0.256349,0.335257,47752.82,64087.26,83814.22,0.159360,3.103670,0.050234,0.027291
TLT,89.6100,0.098435,-0.080471,0.033464,0.010221,0.018329,0.021674,0.023610,4582.15,5418.50,5902.59,0.033583,0.033014,0.405957,0.357805
CANE,9.2800,0.185086,0.080077,-0.006497,-0.026325,0.041814,0.053716,0.066023,10453.50,13429.08,16505.63,-0.031315,-0.264076,0.374901,0.387726
HUT,52.7200,1.084276,-0.079714,-0.093513,-0.071638,0.265108,0.352207,0.453939,66277.09,88051.84,113484.76,0.028282,5.306221,0.041119,-0.041119
TTC,100.2900,0.179059,-0.077841,0.012304,0.034044,0.040156,0.051426,0.062924,10038.97,12856.41,15730.98,0.250967,0.102196,0.405600,0.357180
NVCR,13.5200,1.142356,-0.076832,-0.027259,-0.014520,0.277895,0.368439,0.473443,69473.77,92109.69,118360.65,0.030488,-0.177115,0.024749,-0.024749
RPD,6.2600,1.084343,0.076462,0.108214,0.151286,0.265123,0.352226,0.453962,66280.81,88056.58,113490.48,-0.561317,-0.893556,-0.050476,0.050476
CCI,89.5300,0.431728,-0.075580,-0.036489,0.009085,0.109032,0.146776,0.192855,27257.97,36694.02,48213.65,0.009357,-0.114392,0.307221,0.280301
ATI,166.4200,0.258226,-0.074894,0.033086,0.066768,0.062063,0.081845,0.104451,15515.80,20461.19,26112.66,0.396141,2.341096,0.397279,0.363112
SF,75.5700,0.368732,0.074559,0.063370,0.095477,0.092429,0.124056,0.162343,23107.15,31014.00,40585.71,-0.116554,0.542766,0.296171,0.391557
FR,63.5000,0.195545,-0.074300,0.036195,0.071306,0.044696,0.057704,0.071430,11174.04,14425.94,17857.58,0.096718,0.274303,0.397189,0.365158
VNQ,95.9300,0.135898,-0.072192,-0.006925,0.059380,0.028363,0.035229,0.041241,7090.76,8807.33,10310.20,0.083710,0.186274,0.404964,0.358666
